import time: self [us] | cumulative | imported package
import time:       798 |        798 |                                     torch.package._stdlib
import time:       821 |        821 |                                     torch.package.find_file_dependencies
import time:       902 |        902 |                                     torch.package.glob_group
import time:      2890 |      11839 |                                   torch.package.package_exporter
import time:       791 |      12630 |                                 torch.package.analyze.find_first_use_of_broken_modules
import time:       898 |        898 |                                 torch.package.analyze.trace_dependencies
import time:       921 |      14448 |                               torch.package.analyze
import time:       740 |      15188 |                             torch.package.analyze.is_from_package
import time:       789 |        789 |                             torch.package.file_structure_representation
import time:       705 |        705 |                               torch.package._directory_reader
import time:       848 |        848 |                               torch.package._package_unpickler
import time:      1199 |       2752 |                             torch.package.package_importer
import time:       839 |      19567 |                           torch.package
import time:        60 |      19627 |                         torch.package._mangling
import time:      1224 |       1224 |                         torch._awaits
import time:      1366 |       1366 |                         torch.futures
import time:      2075 |      25129 |                       torch._jit_internal
import time:      3067 |       3067 |                       torch._torch_docs
import time:       915 |        915 |                       torch.nn._reduction
import time:       696 |        696 |                         torch.nn.modules.utils
import time:       778 |       1473 |                       torch.nn.grad
import time:     15183 |      45765 |                     torch.nn.functional
import time:      1226 |       1226 |                     torch.nn.init
import time:      1169 |       1169 |                     torch.nn.modules.lazy
import time:      1084 |      49243 |                   torch.nn.modules.linear
import time:      2149 |       2149 |                   torch.nn.modules.activation
import time:      1126 |       1126 |                     torch.nn.modules.container
import time:      1091 |       2217 |                   torch.nn.modules.adaptive
import time:       239 |        239 |                                   _csv
import time:      1778 |       2017 |                                 csv
import time:      1104 |       1104 |                                 email
import time:       877 |        877 |                                     quopri
import time:       801 |        801 |                                       email._parseaddr
import time:       699 |        699 |                                         email.base64mime
import time:       841 |        841 |                                         email.quoprimime
import time:      1093 |       1093 |                                         email.errors
import time:       746 |        746 |                                         email.encoders
import time:       926 |       4302 |                                       email.charset
import time:      1107 |       6210 |                                     email.utils
import time:      1137 |       1137 |                                       email.header
import time:       945 |       2082 |                                     email._policybase
import time:       890 |        890 |                                     email._encoded_words
import time:       941 |        941 |                                     email.iterators
import time:      1693 |      12691 |                                   email.message
import time:       707 |        707 |                                     importlib.metadata._functools
import time:      1250 |       1957 |                                   importlib.metadata._text
import time:      2038 |      16685 |                                 importlib.metadata._adapters
import time:      2119 |       2119 |                                 importlib.metadata._meta
import time:      1197 |       1197 |                                 importlib.metadata._collections
import time:       846 |        846 |                                 importlib.metadata._itertools
import time:      1121 |       1121 |                                 importlib.abc
import time:      3245 |      28331 |                               importlib.metadata
import time:     13077 |      41408 |                             torch.utils._pytree
import time:       874 |      42282 |                           torch._vmap_internals
import time:       939 |        939 |                               torch.utils._contextlib
import time:      1110 |       2049 |                             torch.autograd.grad_mode
import time:      1575 |       3623 |                           torch.autograd.forward_ad
import time:      1247 |       1247 |                           torch.autograd.functional
import time:      1007 |       1007 |                             torch.autograd.variable
import time:      2891 |       3897 |                           torch.autograd.graph
import time:      1173 |       1173 |                           torch.autograd.anomaly_mode
import time:      1036 |       1036 |                             torch._functorch
import time:      1897 |       1897 |                                   torch.utils._exposed_in
import time:      3533 |       5429 |                                 torch._functorch.utils
import time:      4822 |       4822 |                                   torch._functorch.predispatch
import time:      1373 |       6194 |                                 torch._functorch.vmap
import time:      1086 |      12708 |                               torch._functorch.apis
import time:      1916 |       1916 |                                 torch._functorch.pyfunctorch
import time:      2945 |       4860 |                               torch._ops
import time:      2212 |      19779 |                             torch._functorch.autograd_function
import time:      3452 |      24265 |                           torch.autograd.function
import time:      1312 |       1312 |                               torch.testing._utils
import time:       170 |        170 |                                 cmath
import time:      3860 |       4030 |                               torch.testing._comparison
import time:      1295 |       1295 |                               torch.testing._creation
import time:      1247 |       7882 |                             torch.testing
import time:      2323 |      10205 |                           torch.autograd.gradcheck
import time:      1207 |       1207 |                               _uuid
import time:      2225 |       3432 |                             uuid
import time:      1848 |       1848 |                             torch.autograd.profiler_util
import time:      2260 |       7539 |                           torch.autograd.profiler
import time:      5635 |      99864 |                         torch.autograd
import time:        52 |      99915 |                       torch.autograd.function
import time:       858 |     100773 |                     torch.nn.modules._functions
import time:      1269 |     102042 |                   torch.nn.modules.batchnorm
import time:      1096 |       1096 |                   torch.nn.modules.channelshuffle
import time:      1963 |       1963 |                     torch.nn.common_types
import time:      2408 |       4371 |                   torch.nn.modules.conv
import time:      1138 |       1138 |                   torch.nn.modules.distance
import time:      1114 |       1114 |                   torch.nn.modules.dropout
import time:      1041 |       1041 |                   torch.nn.modules.flatten
import time:       942 |        942 |                   torch.nn.modules.fold
import time:      1099 |       1099 |                   torch.nn.modules.instancenorm
import time:      2069 |       2069 |                   torch.nn.modules.loss
import time:      1402 |       1402 |                   torch.nn.modules.normalization
import time:      1534 |       1534 |                   torch.nn.modules.padding
import time:      1153 |       1153 |                   torch.nn.modules.pixelshuffle
import time:      1854 |       1854 |                   torch.nn.modules.pooling
import time:       653 |        653 |                             torch.__future__
import time:       999 |       1652 |                           torch.nn.utils.parametrize
import time:      1516 |       3168 |                         torch.nn.utils.parametrizations
